status,trackerId,server_region,timestamp,server,date_time,state
success,89328463599,Tokyo;Japan,1599628971000,d329:2612:1bcd:357c:a759:c33e:1c64:92e9,2020-09-09T05:22:51.000Z,Tokyo
success,89328463676,Tokyo;Japan,1595896841000,18f5:7fc9:9977:50c:3c8d:e214:e711:8ca9,2020-07-28T00:40:41.000Z,Tokyo
-,89328463704,Tokyo;Japan,1600561561000,1fd1:e15:fb5c:ba51:aeaa:3a3a:8f61:4c01,2020-09-20T00:26:01.000Z,Tokyo
failed,89328463785,Tokyo;Japan,1588928888000,eadb:2104:b55e:7cb0:2359:10b6:8105:1b6d,2020-05-08T09:08:08.000Z,Tokyo
success,89328463787,Tokyo;Japan,1601322028000,1d06:fd10:dd50:46e2:d626:41d1:36d0:8a02,2020-09-28T19:40:28.000Z,Tokyo
success,89328463828,Tokyo;Japan,1596022145000,5818:e59c:b463:2acd:2d6b:59d2:a20:72a1,2020-07-29T11:29:05.000Z,Tokyo
success,89328463844,Tokyo;Japan,1592822111000,403c:d6e:8ddb:8826:8f0c:6cd5:c16:cbb1,2020-06-22T10:35:11.000Z,Tokyo
success,89328463879,Tokyo;Japan,1593413642000,4131:8c0c:d6f5:fee9:efe3:e36:35b4:36c5,2020-06-29T06:54:02.000Z,Tokyo
success,89328463927,Tokyo;Japan,1593208211000,94c6:b1e7:f243:eaeb:27d8:acd8:944c:762,2020-06-26T21:50:11.000Z,Tokyo
success,89328464000,Tokyo;Japan,1607184719000,2fc1:eb:65ad:cb1e:a27e:84ea:eeff:137,2020-12-05T16:11:59.000Z,Tokyo
success,89328464129,Tokyo;Japan,1601218517000,f872:58b7:5c3f:35b3:2075:79f8:5bd6:b276,2020-09-27T14:55:17.000Z,Tokyo
success,89328464132,Tokyo;Japan,1607535941000,5654:5aa0:fdb5:721c:4181:c765:6372:6f5d,2020-12-09T17:45:41.000Z,Tokyo
success,89328464232,Tokyo;Japan,1587863974000,3d0d:dc6c:4af3:162b:6b56:2580:28fd:7410,2020-04-26T01:19:34.000Z,Tokyo
success,89328464354,Tokyo;Japan,1598215875000,c70a:b59a:4779:366d:6464:4fa5:1eaf:6b1d,2020-08-23T20:51:15.000Z,Tokyo
