status,trackerId,server_region,timestamp,server,date_time,state
success,89328463626,Tokyo;Japan,1604510631000,f026:f696:2efa:98ab:eb98:892d:914:72ad,2020-11-04T17:23:51.000Z,Tokyo
success,89328463666,Tokyo;Japan,1601301400000,fe28:43c4:405c:cc6:80e6:771:9add:9a70,2020-09-28T13:56:40.000Z,Tokyo
success,89328463738,Tokyo;Japan,1601644232000,5423:209f:39eb:de2b:899d:2eff:b2c7:1b34,2020-10-02T13:10:32.000Z,Tokyo
failed,89328463750,Tokyo;Japan,1603596455000,7a7a:52ed:8db8:3117:53b:c260:d02b:a42,2020-10-25T03:27:35.000Z,Tokyo
success,89328463753,Tokyo;Japan,1605484807000,ffc4:7554:e1a1:919b:35c4:eef:2302:33c8,2020-11-16T00:00:07.000Z,Tokyo
success,89328463867,Tokyo;Japan,1593484730000,d3b7:b414:33c8:ac93:e965:88ac:1527:7892,2020-06-30T02:38:50.000Z,Tokyo
success,89328463875,Tokyo;Japan,1600122921000,adfe:5ac3:f152:b786:2424:e67a:4840:275d,2020-09-14T22:35:21.000Z,Tokyo
success,89328463894,Tokyo;Japan,1598787109000,f676:c8ed:ae6:2a8f:5e51:91ef:f312:69b2,2020-08-30T11:31:49.000Z,Tokyo
success,89328463904,Tokyo;Japan,1606502078000,6b6b:3139:3d01:b566:f47e:4d93:d4f:6b41,2020-11-27T18:34:38.000Z,Tokyo
success,89328464046,Tokyo;Japan,1601352746000,8098:d5e8:b3ce:84c1:3a3c:b150:9c0f:9c45,2020-09-29T04:12:26.000Z,Tokyo
success,89328464073,Tokyo;Japan,1590394084000,4498:7bce:41ee:447c:4020:d284:7aae:6756,2020-05-25T08:08:04.000Z,Tokyo
success,89328464215,Tokyo;Japan,1586458454000,4275:7936:37df:332b:d70f:8615:f5ba:9c85,2020-04-09T18:54:14.000Z,Tokyo
success,89328464363,Tokyo;Japan,1602288049000,15d9:583:513a:5243:bc9e:66c4:d118:4654,2020-10-10T00:00:49.000Z,Tokyo
success,89328464477,Tokyo;Japan,1590704560000,c11a:9696:f4cc:ec0b:2c34:db85:30d8:75d3,2020-05-28T22:22:40.000Z,Tokyo
